OWNER,SYNONYM_NAME,TABLE_OWNER,TABLE_NAME,DB_LINK
BATCHUSER,C1_MKTMSG_PAY_LOG_PARM,CISADM,C1_MKTMSG_PAY_LOG_PARM,
BATCHUSER,C1_MKTMSG_PAY_REL_OBJ,CISADM,C1_MKTMSG_PAY_REL_OBJ,
BATCHUSER,C1_MKTMSG_USG,CISADM,C1_MKTMSG_USG,
BATCHUSER,C1_MKTMSG_USG_DTL,CISADM,C1_MKTMSG_USG_DTL,
BATCHUSER,C1_MKTMSG_USG_K,CISADM,C1_MKTMSG_USG_K,
BATCHUSER,C1_MKTMSG_USG_LOG,CISADM,C1_MKTMSG_USG_LOG,
BATCHUSER,C1_MKTMSG_USG_LOG_PARM,CISADM,C1_MKTMSG_USG_LOG_PARM,
BATCHUSER,C1_MKTMSG_USG_REL_OBJ,CISADM,C1_MKTMSG_USG_REL_OBJ,
BATCHUSER,C1_MKT_CHAR,CISADM,C1_MKT_CHAR,
BATCHUSER,C1_MKT_FALLBACK_SPR,CISADM,C1_MKT_FALLBACK_SPR,
BATCHUSER,C1_MKT_L,CISADM,C1_MKT_L,
BATCHUSER,C1_MKT_PROV_CONFIG_OPT,CISADM,C1_MKT_PROV_CONFIG_OPT,
BATCHUSER,C1_MKT_PROV_CONFIG_OPT_L,CISADM,C1_MKT_PROV_CONFIG_OPT_L,
BATCHUSER,C1_MKT_RP,CISADM,C1_MKT_RP,
BATCHUSER,C1_MKT_RP_ATTR,CISADM,C1_MKT_RP_ATTR,
BATCHUSER,C1_MKT_RP_CHAR,CISADM,C1_MKT_RP_CHAR,
BATCHUSER,C1_MKT_RP_K,CISADM,C1_MKT_RP_K,
BATCHUSER,C1_MKT_RP_LOG,CISADM,C1_MKT_RP_LOG,
BATCHUSER,C1_MKT_RP_LOG_PARM,CISADM,C1_MKT_RP_LOG_PARM,
BATCHUSER,C1_MKT_RP_REL,CISADM,C1_MKT_RP_REL,
BATCHUSER,C1_MKT_RP_REL_OBJ,CISADM,C1_MKT_RP_REL_OBJ,
BATCHUSER,C1_MKT_VALID_SPR,CISADM,C1_MKT_VALID_SPR,
BATCHUSER,C1_NTF_EVT_CC_CL_TYPE,CISADM,C1_NTF_EVT_CC_CL_TYPE,
BATCHUSER,C1_NTF_EVT_TYPE,CISADM,C1_NTF_EVT_TYPE,
BATCHUSER,C1_NTF_EVT_TYPE_ALG,CISADM,C1_NTF_EVT_TYPE_ALG,
BATCHUSER,C1_NTF_EVT_TYPE_CHAR,CISADM,C1_NTF_EVT_TYPE_CHAR,
BATCHUSER,C1_NTF_PREF,CISADM,C1_NTF_PREF,
BATCHUSER,C1_NTF_PREF_CHAR,CISADM,C1_NTF_PREF_CHAR,
BATCHUSER,C1_NTF_PREF_ID,CISADM,C1_NTF_PREF_ID,
BATCHUSER,C1_NTF_PREF_K,CISADM,C1_NTF_PREF_K,
BATCHUSER,C1_NTF_PREF_LOG,CISADM,C1_NTF_PREF_LOG,
BATCHUSER,C1_NTF_PREF_LOG_PARM,CISADM,C1_NTF_PREF_LOG_PARM,
BATCHUSER,C1_NTF_TYPE,CISADM,C1_NTF_TYPE,
BATCHUSER,C1_NTF_TYPE_ALG,CISADM,C1_NTF_TYPE_ALG,
BATCHUSER,C1_NTF_TYPE_CHAR,CISADM,C1_NTF_TYPE_CHAR,
BATCHUSER,C1_NTF_TYPE_COMM_RTE_TYPE,CISADM,C1_NTF_TYPE_COMM_RTE_TYPE,
BATCHUSER,C1_NTF_TYPE_DVTYP,CISADM,C1_NTF_TYPE_DVTYP,
BATCHUSER,C1_NTF_TYPE_L,CISADM,C1_NTF_TYPE_L,
BATCHUSER,C1_OFFCYC_BGEN,CISADM,C1_OFFCYC_BGEN,
BATCHUSER,C1_OFFCYC_BGEN_ADJ,CISADM,C1_OFFCYC_BGEN_ADJ,
BATCHUSER,C1_OFFCYC_BGEN_BCHG,CISADM,C1_OFFCYC_BGEN_BCHG,
BATCHUSER,C1_OFFCYC_BGEN_BSEG,CISADM,C1_OFFCYC_BGEN_BSEG,
BATCHUSER,C1_OFFCYC_BGEN_CHAR,CISADM,C1_OFFCYC_BGEN_CHAR,
BATCHUSER,C1_OFFCYC_BGEN_K,CISADM,C1_OFFCYC_BGEN_K,
BATCHUSER,C1_OFFCYC_BGEN_LOG,CISADM,C1_OFFCYC_BGEN_LOG,
BATCHUSER,C1_OFFCYC_BGEN_LOG_PARM,CISADM,C1_OFFCYC_BGEN_LOG_PARM,
BATCHUSER,C1_OFFCYC_BGEN_SA,CISADM,C1_OFFCYC_BGEN_SA,
BATCHUSER,C1_PA_RQST,CISADM,C1_PA_RQST,
BATCHUSER,C1_PA_RQST_CHAR,CISADM,C1_PA_RQST_CHAR,
BATCHUSER,C1_PA_RQST_ELIG_RSLT,CISADM,C1_PA_RQST_ELIG_RSLT,
BATCHUSER,C1_PA_RQST_K,CISADM,C1_PA_RQST_K,
BATCHUSER,C1_PA_RQST_LOG,CISADM,C1_PA_RQST_LOG,
BATCHUSER,C1_PA_RQST_LOG_PARM,CISADM,C1_PA_RQST_LOG_PARM,
BATCHUSER,C1_PA_RQST_REL_OBJ,CISADM,C1_PA_RQST_REL_OBJ,
BATCHUSER,C1_PA_RQST_TYPE,CISADM,C1_PA_RQST_TYPE,
BATCHUSER,C1_PA_RQST_TYPE_ALG,CISADM,C1_PA_RQST_TYPE_ALG,
BATCHUSER,C1_PA_RQST_TYPE_CHAR,CISADM,C1_PA_RQST_TYPE_CHAR,
BATCHUSER,C1_PA_RQST_TYPE_DOWN_PAY_OPT,CISADM,C1_PA_RQST_TYPE_DOWN_PAY_OPT,
BATCHUSER,C1_PA_RQST_TYPE_DOWN_PAY_OPT_L,CISADM,C1_PA_RQST_TYPE_DOWN_PAY_OPT_L,
BATCHUSER,C1_PA_RQST_TYPE_L,CISADM,C1_PA_RQST_TYPE_L,
BATCHUSER,C1_PER_CONTDET,CISADM,C1_PER_CONTDET,
BATCHUSER,C1_PER_CONT_DET_K,CISADM,C1_PER_CONT_DET_K,
BATCHUSER,C1_PER_SS_PAYOPT,CISADM,C1_PER_SS_PAYOPT,
BATCHUSER,C1_PER_SS_PAYOPT_K,CISADM,C1_PER_SS_PAYOPT_K,
BATCHUSER,C1_PREM_ACTIVITY_GTT,CISADM,C1_PREM_ACTIVITY_GTT,
BATCHUSER,C1_PROD,CISADM,C1_PROD,
BATCHUSER,C1_PROD_CHAR,CISADM,C1_PROD_CHAR,
BATCHUSER,C1_PROD_COMP,CISADM,C1_PROD_COMP,
BATCHUSER,C1_PROD_COMP_CHAR,CISADM,C1_PROD_COMP_CHAR,
