OWNER,TABLE_NAME,INDEX_NAME,UNIQUENESS,INDEX_TYPE,STATUS,VISIBILITY,TABLESPACE_NAME,PARTITIONED,LAST_ANALYZED
CISADM,D1_COMM_TYPE_L,D1C360P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:05:29
CISADM,D1_COMPL_EVT,D1T340P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:06:56
CISADM,D1_COMPL_EVT,D1T340S0,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:06:56
CISADM,D1_COMPL_EVT_CHAR,D1T341P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:14:34
CISADM,D1_COMPL_EVT_CHAR,D1T341S1,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:14:35
CISADM,D1_COMPL_EVT_K,D1T416P0,UNIQUE,IOT - TOP,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:18:59
CISADM,D1_COMPL_EVT_LOG,D1T342P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:20:20
CISADM,D1_COMPL_EVT_LOG,D1T342S1,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:20:21
CISADM,D1_COMPL_EVT_LOG,D1T342S2,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:20:20
CISADM,D1_COMPL_EVT_LOG_PARM,D1T343P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:19:28
CISADM,D1_COMPL_EVT_REL_OBJ,D1T344P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:18:09
CISADM,D1_COMPL_EVT_REL_OBJ,D1T344S0,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:18:09
