DEVICE_CONFIG_EFFECT_DTTM,ASSET_CREATION_DT,SERIAL_NUMBER,BILL_CYCLE,CURRENT_DISPOSITION,CURRENT_DISP_DT,MTR_SPEC,SPID,SP_TYPE,MTR_SITE_ID,PREM_ID,PREM_ADDR,PIN,CURRENT_LOC_ORG_ID
2006-07-19-12.07.00,7/18/06,32865366,02,NI-INSTORE,9/20/23,SM-DISC-B58,404037615400,EX-RES,14512-EX-000,6455262688,292 3RD ST,FDL-15-17-14-21-177-00,
2006-08-10-12.08.00,8/9/06,32865413,02,NI-INSTORE,9/6/23,SM-DISC-B58,188116626700,WT-RES,3106-WT-000,8420245301,485 THOMAS ST,FDL-15-17-09-44-768-00,
2006-11-06-12.11.00,11/5/06,18129550,02,NI-INSTORE,12/6/24,SM-DISC-B100,238916035000,WT-COM,6814-WT-000,8649958569,85 E DIVISION ST,FDL-15-17-10-44-784-00,
2007-05-02-12.05.00,5/1/07,30120056,02,NI-INSTORE,1/18/24,SM-DISC-B75,644232793000,WT-RES,30964-WT-000,8044560344,660 S MAIN ST 1,FDL-15-17-22-12-267-00,
2012-12-07-12.12.00,12/6/12,36399667,03,NI-INSTORE,12/22/25,SM-DISC-B100,605632523400,WT-RES,28828-WT-000,5221903646,490 LEDGEWOOD DR,FDL-15-18-05-33-518-00,
2014-01-21-12.01.00,1/20/14,45398292,01,NI-INSTORE,8/19/24,SM-DISC-B58,517242557900,EX-COM,15494-EX-000,1412076106,305 FOND DU LAC AVE,FDL-15-17-14-24-835-00,
2014-04-07-12.04.00,4/6/14,35764715,03,NI-INSTORE,10/22/24,SM-DISC-B200,995699816300,EX-PUB,33428-EX-000,7411324103,MARTIN RD & BOYD ST,FDL-15-17-15-22-274-00,
2014-04-16-12.04.00,4/15/14,45667379,03,NI-INSTORE,11/1/24,SM-DISC-B150,677289662700,WT-PUB,1292-WT-000,2961714530,ALLEN ST KIESLER FIELD RESTROOMS,FDL-15-17-03-44-769-00,
2014-04-24-12.04.00,4/23/14,45188403,03,NI-INSTORE,8/28/24,SM-DISC-B58,327725192100,WT-COM,18154-WT-000,5681596588,118 S MAIN ST,FDL-15-17-15-12-302-00,
2014-04-30-12.04.00,4/29/14,45398295,01,NI-INSTORE,4/12/24,SM-DISC-B58,638255610500,WT-PUB,29390-WT-000,2813904042,MARTIN AVE  OPTIMIST BLDG,FDL-15-17-14-43-500-00,
2014-05-23-12.05.00,7/24/13,45336898,02,NI-INSTORE,2/17/25,SM-ESERIES-B200,596398878700,WT-COM,24850-WT-000,2098020235,717 S HICKORY ST,FDL-15-17-22-23-503-00,
2014-07-10-12.07.00,7/9/14,46216629,03,NI-INSTORE,1/24/25,SM-DISC-B58,454592287500,WT-RES,4452-WT-000,8326547795,249 MARQUETTE ST,FDL-15-17-10-14-825-00,
2015-01-22-12.01.00,1/21/15,45880549,02,NI-INSTORE,1/8/24,SM-DISC-B75,848960117200,WO-RES,33652-WO-000,1296796956,576 EVANS DR S/P A,FDL-15-17-16-42-274-13,
